,id,gender,age,angle,width,height,facepart,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,forehead_wrinkle,partname,image_name,label_name,adj_forehead_wrinkle,adj_forehead_wrinkle_2
721,0019,F,49,F,2136,3216,01,592.0,628.0,1518.0,1202.0,2.0,이마,0019_01_F.jpg,0019_01_F_01.json,0.0,1.0
730,0019,F,49,L15,2136,3216,01,305.0,730.0,1234.0,1260.0,2.0,이마,0019_01_L15.jpg,0019_01_L15_01.json,0.0,1.0
739,0019,F,49,L30,2136,3216,01,328.0,769.0,1181.0,1260.0,2.0,이마,0019_01_L30.jpg,0019_01_L30_01.json,0.0,1.0
748,0019,F,49,R15,2136,3216,01,812.0,692.0,1798.0,1241.0,2.0,이마,0019_01_R15.jpg,0019_01_R15_01.json,0.0,1.0
757,0019,F,49,R30,2136,3216,01,953.0,684.0,1854.0,1276.0,2.0,이마,0019_01_R30.jpg,0019_01_R30_01.json,0.0,1.0
766,0020,F,42,F,2136,3216,01,573.0,749.0,1580.0,1221.0,2.0,이마,0020_01_F.jpg,0020_01_F_01.json,0.0,1.0
775,0020,F,42,L15,2136,3216,01,368.0,696.0,1366.0,1123.0,2.0,이마,0020_01_L15.jpg,0020_01_L15_01.json,0.0,1.0
784,0020,F,42,L30,2136,3216,01,451.0,670.0,1346.0,1095.0,2.0,이마,0020_01_L30.jpg,0020_01_L30_01.json,0.0,1.0
793,0020,F,42,R15,2136,3216,01,768.0,697.0,1814.0,1158.0,2.0,이마,0020_01_R15.jpg,0020_01_R15_01.json,0.0,1.0
802,0020,F,42,R30,2136,3216,01,909.0,709.0,1792.0,1137.0,2.0,이마,0020_01_R30.jpg,0020_01_R30_01.json,0.0,1.0
811,0021,F,56,F,2136,3216,01,529.0,656.0,1539.0,1103.0,3.0,이마,0021_01_F.jpg,0021_01_F_01.json,1.0,1.0
820,0021,F,56,L15,2136,3216,01,357.0,782.0,1331.0,1202.0,3.0,이마,0021_01_L15.jpg,0021_01_L15_01.json,1.0,1.0
829,0021,F,56,L30,2136,3216,01,282.0,834.0,1356.0,1203.0,3.0,이마,0021_01_L30.jpg,0021_01_L30_01.json,1.0,1.0
838,0021,F,56,R15,2136,3216,01,685.0,752.0,1752.0,1219.0,3.0,이마,0021_01_R15.jpg,0021_01_R15_01.json,1.0,1.0
847,0021,F,56,R30,2136,3216,01,664.0,760.0,1799.0,1165.0,3.0,이마,0021_01_R30.jpg,0021_01_R30_01.json,1.0,1.0
856,0022,F,44,F,2136,3216,01,544.0,790.0,1626.0,1249.0,1.0,이마,0022_01_F.jpg,0022_01_F_01.json,0.0,0.0
865,0022,F,44,L15,2136,3216,01,212.0,769.0,1341.0,1166.0,1.0,이마,0022_01_L15.jpg,0022_01_L15_01.json,0.0,0.0
874,0022,F,44,L30,2136,3216,01,236.0,739.0,1253.0,1170.0,1.0,이마,0022_01_L30.jpg,0022_01_L30_01.json,0.0,0.0
883,0022,F,44,R15,2136,3216,01,707.0,703.0,1786.0,1141.0,1.0,이마,0022_01_R15.jpg,0022_01_R15_01.json,0.0,0.0
892,0022,F,44,R30,2136,3216,01,807.0,661.0,1806.0,1134.0,1.0,이마,0022_01_R30.jpg,0022_01_R30_01.json,0.0,0.0
901,0023,F,44,F,2136,3216,01,539.0,798.0,1595.0,1327.0,2.0,이마,0023_01_F.jpg,0023_01_F_01.json,0.0,1.0
910,0023,F,44,L15,2136,3216,01,331.0,584.0,1335.0,1151.0,2.0,이마,0023_01_L15.jpg,0023_01_L15_01.json,0.0,1.0
919,0023,F,44,L30,2136,3216,01,332.0,604.0,1212.0,1155.0,2.0,이마,0023_01_L30.jpg,0023_01_L30_01.json,0.0,1.0
928,0023,F,44,R15,2136,3216,01,831.0,615.0,1803.0,1148.0,2.0,이마,0023_01_R15.jpg,0023_01_R15_01.json,0.0,1.0
937,0023,F,44,R30,2136,3216,01,974.0,541.0,1812.0,1130.0,2.0,이마,0023_01_R30.jpg,0023_01_R30_01.json,0.0,1.0
946,0024,F,50,F,2136,3216,01,547.0,662.0,1546.0,1219.0,4.0,이마,0024_01_F.jpg,0024_01_F_01.json,1.0,2.0
955,0024,F,50,L15,2136,3216,01,394.0,622.0,1332.0,1180.0,4.0,이마,0024_01_L15.jpg,0024_01_L15_01.json,1.0,2.0
964,0024,F,50,L30,2136,3216,01,484.0,616.0,1328.0,1158.0,4.0,이마,0024_01_L30.jpg,0024_01_L30_01.json,1.0,2.0
973,0024,F,50,R15,2136,3216,01,731.0,677.0,1810.0,1204.0,4.0,이마,0024_01_R15.jpg,0024_01_R15_01.json,1.0,2.0
982,0024,F,50,R30,2136,3216,01,840.0,610.0,1773.0,1163.0,4.0,이마,0024_01_R30.jpg,0024_01_R30_01.json,1.0,2.0
991,0025,F,45,F,2136,3216,01,692.0,639.0,1622.0,1142.0,1.0,이마,0025_01_F.jpg,0025_01_F_01.json,0.0,0.0
1000,0025,F,45,L15,2136,3216,01,375.0,658.0,1448.0,1117.0,1.0,이마,0025_01_L15.jpg,0025_01_L15_01.json,0.0,0.0
1009,0025,F,45,L30,2136,3216,01,457.0,637.0,1355.0,1116.0,1.0,이마,0025_01_L30.jpg,0025_01_L30_01.json,0.0,0.0
1018,0025,F,45,R15,2136,3216,01,764.0,706.0,1837.0,1204.0,1.0,이마,0025_01_R15.jpg,0025_01_R15_01.json,0.0,0.0
1027,0025,F,45,R30,2136,3216,01,856.0,656.0,1822.0,1132.0,1.0,이마,0025_01_R30.jpg,0025_01_R30_01.json,0.0,0.0
1036,0026,F,48,F,2136,3216,01,490.0,704.0,1605.0,1162.0,2.0,이마,0026_01_F.jpg,0026_01_F_01.json,0.0,1.0
1045,0026,F,48,L15,2136,3216,01,423.0,609.0,1311.0,1160.0,2.0,이마,0026_01_L15.jpg,0026_01_L15_01.json,0.0,1.0
1054,0026,F,48,L30,2136,3216,01,338.0,678.0,1227.0,1160.0,2.0,이마,0026_01_L30.jpg,0026_01_L30_01.json,0.0,1.0
1063,0026,F,48,R15,2136,3216,01,717.0,627.0,1731.0,1128.0,2.0,이마,0026_01_R15.jpg,0026_01_R15_01.json,0.0,1.0
1072,0026,F,48,R30,2136,3216,01,731.0,730.0,1848.0,1132.0,2.0,이마,0026_01_R30.jpg,0026_01_R30_01.json,0.0,1.0
1081,0027,F,53,F,2136,3216,01,556.0,542.0,1588.0,1057.0,4.0,이마,0027_01_F.jpg,0027_01_F_01.json,1.0,2.0
1090,0027,F,53,L15,2136,3216,01,354.0,600.0,1385.0,1098.0,4.0,이마,0027_01_L15.jpg,0027_01_L15_01.json,1.0,2.0
1099,0027,F,53,L30,2136,3216,01,347.0,607.0,1352.0,1071.0,4.0,이마,0027_01_L30.jpg,0027_01_L30_01.json,1.0,2.0
1108,0027,F,53,R15,2136,3216,01,632.0,562.0,1738.0,1083.0,4.0,이마,0027_01_R15.jpg,0027_01_R15_01.json,1.0,2.0
1117,0027,F,53,R30,2136,3216,01,719.0,550.0,1813.0,1055.0,4.0,이마,0027_01_R30.jpg,0027_01_R30_01.json,1.0,2.0
1126,0028,F,51,F,2136,3216,01,515.0,669.0,1496.0,1154.0,2.0,이마,0028_01_F.jpg,0028_01_F_01.json,0.0,1.0
1135,0028,F,51,L15,2136,3216,01,333.0,712.0,1343.0,1174.0,2.0,이마,0028_01_L15.jpg,0028_01_L15_01.json,0.0,1.0
1144,0028,F,51,L30,2136,3216,01,356.0,699.0,1310.0,1152.0,2.0,이마,0028_01_L30.jpg,0028_01_L30_01.json,0.0,1.0
1153,0028,F,51,R15,2136,3216,01,690.0,679.0,1703.0,1188.0,2.0,이마,0028_01_R15.jpg,0028_01_R15_01.json,0.0,1.0
1162,0028,F,51,R30,2136,3216,01,763.0,674.0,1741.0,1132.0,2.0,이마,0028_01_R30.jpg,0028_01_R30_01.json,0.0,1.0
1171,0029,F,39,F,2136,3216,01,573.0,686.0,1510.0,1180.0,1.0,이마,0029_01_F.jpg,0029_01_F_01.json,0.0,0.0
1180,0029,F,39,L15,2136,3216,01,261.0,695.0,1227.0,1220.0,1.0,이마,0029_01_L15.jpg,0029_01_L15_01.json,0.0,0.0
1189,0029,F,39,L30,2136,3216,01,319.0,706.0,1154.0,1236.0,1.0,이마,0029_01_L30.jpg,0029_01_L30_01.json,0.0,0.0
1198,0029,F,39,R15,2136,3216,01,660.0,739.0,1742.0,1204.0,1.0,이마,0029_01_R15.jpg,0029_01_R15_01.json,0.0,0.0
1207,0029,F,39,R30,2136,3216,01,976.0,724.0,1843.0,1170.0,1.0,이마,0029_01_R30.jpg,0029_01_R30_01.json,0.0,0.0
1216,0030,F,51,F,2136,3216,01,358.0,818.0,1640.0,1345.0,4.0,이마,0030_01_F.jpg,0030_01_F_01.json,1.0,2.0
1225,0030,F,51,L15,2136,3216,01,275.0,718.0,1398.0,1261.0,4.0,이마,0030_01_L15.jpg,0030_01_L15_01.json,1.0,2.0
1234,0030,F,51,L30,2136,3216,01,281.0,732.0,1337.0,1286.0,4.0,이마,0030_01_L30.jpg,0030_01_L30_01.json,1.0,2.0
1243,0030,F,51,R15,2136,3216,01,642.0,717.0,1843.0,1271.0,4.0,이마,0030_01_R15.jpg,0030_01_R15_01.json,1.0,2.0
1252,0030,F,51,R30,2136,3216,01,818.0,676.0,1805.0,1286.0,4.0,이마,0030_01_R30.jpg,0030_01_R30_01.json,1.0,2.0
1261,0031,F,54,F,2136,3216,01,535.0,659.0,1537.0,1088.0,3.0,이마,0031_01_F.jpg,0031_01_F_01.json,1.0,1.0
1270,0031,F,54,L15,2136,3216,01,325.0,732.0,1260.0,1162.0,3.0,이마,0031_01_L15.jpg,0031_01_L15_01.json,1.0,1.0
1279,0031,F,54,L30,2136,3216,01,386.0,710.0,1245.0,1150.0,3.0,이마,0031_01_L30.jpg,0031_01_L30_01.json,1.0,1.0
1288,0031,F,54,R15,2136,3216,01,803.0,706.0,1780.0,1162.0,3.0,이마,0031_01_R15.jpg,0031_01_R15_01.json,1.0,1.0
1297,0031,F,54,R30,2136,3216,01,957.0,730.0,1837.0,1162.0,3.0,이마,0031_01_R30.jpg,0031_01_R30_01.json,1.0,1.0
1306,0032,F,49,F,2136,3216,01,563.0,693.0,1654.0,1148.0,3.0,이마,0032_01_F.jpg,0032_01_F_01.json,1.0,1.0
1315,0032,F,49,L15,2136,3216,01,340.0,686.0,1436.0,1125.0,3.0,이마,0032_01_L15.jpg,0032_01_L15_01.json,1.0,1.0
1324,0032,F,49,L30,2136,3216,01,403.0,637.0,1358.0,1128.0,3.0,이마,0032_01_L30.jpg,0032_01_L30_01.json,1.0,1.0
1333,0032,F,49,R15,2136,3216,01,615.0,691.0,1828.0,1133.0,3.0,이마,0032_01_R15.jpg,0032_01_R15_01.json,1.0,1.0
1342,0032,F,49,R30,2136,3216,01,734.0,713.0,1828.0,1132.0,3.0,이마,0032_01_R30.jpg,0032_01_R30_01.json,1.0,1.0
1351,0033,F,56,F,2136,3216,01,530.0,440.0,1610.0,1021.0,4.0,이마,0033_01_F.jpg,0033_01_F_01.json,1.0,2.0
1360,0033,F,56,L15,2136,3216,01,416.0,572.0,1578.0,1067.0,4.0,이마,0033_01_L15.jpg,0033_01_L15_01.json,1.0,2.0
1369,0033,F,56,L30,2136,3216,01,446.0,477.0,1379.0,1070.0,4.0,이마,0033_01_L30.jpg,0033_01_L30_01.json,1.0,2.0
1378,0033,F,56,R15,2136,3216,01,655.0,457.0,1713.0,1041.0,4.0,이마,0033_01_R15.jpg,0033_01_R15_01.json,1.0,2.0
1387,0033,F,56,R30,2136,3216,01,689.0,507.0,1777.0,1072.0,4.0,이마,0033_01_R30.jpg,0033_01_R30_01.json,1.0,2.0
1396,0035,F,53,F,2136,3216,01,638.0,790.0,1539.0,1225.0,4.0,이마,0035_01_F.jpg,0035_01_F_01.json,1.0,2.0
1405,0035,F,53,L15,2136,3216,01,426.0,778.0,1329.0,1219.0,4.0,이마,0035_01_L15.jpg,0035_01_L15_01.json,1.0,2.0
1414,0035,F,53,L30,2136,3216,01,429.0,817.0,1333.0,1225.0,4.0,이마,0035_01_L30.jpg,0035_01_L30_01.json,1.0,2.0
1423,0035,F,53,R15,2136,3216,01,891.0,813.0,1770.0,1203.0,4.0,이마,0035_01_R15.jpg,0035_01_R15_01.json,1.0,2.0
1432,0035,F,53,R30,2136,3216,01,1063.0,798.0,1847.0,1194.0,4.0,이마,0035_01_R30.jpg,0035_01_R30_01.json,1.0,2.0
1441,0036,F,45,F,2136,3216,01,531.0,635.0,1568.0,1168.0,1.0,이마,0036_01_F.jpg,0036_01_F_01.json,0.0,0.0
1450,0036,F,45,L15,2136,3216,01,457.0,600.0,1348.0,1152.0,1.0,이마,0036_01_L15.jpg,0036_01_L15_01.json,0.0,0.0
1459,0036,F,45,L30,2136,3216,01,483.0,594.0,1297.0,1121.0,1.0,이마,0036_01_L30.jpg,0036_01_L30_01.json,0.0,0.0
1468,0036,F,45,R15,2136,3216,01,689.0,607.0,1675.0,1155.0,1.0,이마,0036_01_R15.jpg,0036_01_R15_01.json,0.0,0.0
1477,0036,F,45,R30,2136,3216,01,868.0,658.0,1760.0,1122.0,1.0,이마,0036_01_R30.jpg,0036_01_R30_01.json,0.0,0.0
1486,0037,F,50,F,2136,3216,01,495.0,731.0,1503.0,1249.0,3.0,이마,0037_01_F.jpg,0037_01_F_01.json,1.0,1.0
1495,0037,F,50,L15,2136,3216,01,366.0,701.0,1364.0,1261.0,3.0,이마,0037_01_L15.jpg,0037_01_L15_01.json,1.0,1.0
1504,0037,F,50,L30,2136,3216,01,301.0,798.0,1259.0,1334.0,3.0,이마,0037_01_L30.jpg,0037_01_L30_01.json,1.0,1.0
1513,0037,F,50,R15,2136,3216,01,711.0,873.0,1766.0,1341.0,3.0,이마,0037_01_R15.jpg,0037_01_R15_01.json,1.0,1.0
1522,0037,F,50,R30,2136,3216,01,882.0,873.0,1797.0,1361.0,3.0,이마,0037_01_R30.jpg,0037_01_R30_01.json,1.0,1.0
1531,0038,F,48,F,2136,3216,01,498.0,617.0,1628.0,1195.0,2.0,이마,0038_01_F.jpg,0038_01_F_01.json,0.0,1.0
1540,0038,F,48,L15,2136,3216,01,310.0,632.0,1510.0,1210.0,2.0,이마,0038_01_L15.jpg,0038_01_L15_01.json,0.0,1.0
1549,0038,F,48,L30,2136,3216,01,309.0,625.0,1415.0,1199.0,2.0,이마,0038_01_L30.jpg,0038_01_L30_01.json,0.0,1.0
1558,0038,F,48,R15,2136,3216,01,571.0,652.0,1731.0,1213.0,2.0,이마,0038_01_R15.jpg,0038_01_R15_01.json,0.0,1.0
1567,0038,F,48,R30,2136,3216,01,712.0,625.0,1770.0,1214.0,2.0,이마,0038_01_R30.jpg,0038_01_R30_01.json,0.0,1.0
1576,0039,F,47,F,2136,3216,01,543.0,671.0,1676.0,1094.0,2.0,이마,0039_01_F.jpg,0039_01_F_01.json,0.0,1.0
1585,0039,F,47,L15,2136,3216,01,319.0,706.0,1465.0,1121.0,2.0,이마,0039_01_L15.jpg,0039_01_L15_01.json,0.0,1.0
1594,0039,F,47,L30,2136,3216,01,428.0,688.0,1501.0,1114.0,2.0,이마,0039_01_L30.jpg,0039_01_L30_01.json,0.0,1.0
1603,0039,F,47,R15,2136,3216,01,580.0,682.0,1766.0,1129.0,2.0,이마,0039_01_R15.jpg,0039_01_R15_01.json,0.0,1.0
